AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-14|3.4|3.7|3.5|2061|Incidence|58588724|Acute Lymphocytic|1999
0-19|2.9|3.1|3.0|2327|Incidence|78174581|Acute Lymphocytic|1999
0-14|0.6|0.8|0.7|398|Incidence|58588724|Acute Myeloid|1999
0-19|0.7|0.8|0.7|568|Incidence|78174581|Acute Myeloid|1999
0-14|14.2|14.8|14.5|8498|Incidence|58588724|All Cancer Sites Combined|1999
0-19|15.6|16.1|15.8|12363|Incidence|78174581|All Cancer Sites Combined|1999
0-14|0.7|0.8|0.7|433|Incidence|58588724|Bones and Joints|1999
0-19|0.8|1.0|0.9|708|Incidence|78174581|Bones and Joints|1999
0-14|3.1|3.4|3.3|1907|Incidence|58588724|Brain and Other Nervous System|1999
0-19|2.8|3.1|2.9|2305|Incidence|78174581|Brain and Other Nervous System|1999
0-14|0.5|0.6|0.5|319|Incidence|58588724|Hodgkin Lymphoma|1999
0-19|1.1|1.3|1.2|926|Incidence|78174581|Hodgkin Lymphoma|1999
0-14|0.8|0.9|0.8|487|Incidence|58588724|Kidney and Renal Pelvis|1999
0-19|0.6|0.7|0.7|516|Incidence|78174581|Kidney and Renal Pelvis|1999
0-14|4.4|4.7|4.5|2646|Incidence|58588724|Leukemia|1999
0-19|3.9|4.2|4.1|3169|Incidence|78174581|Leukemia|1999
0-14|0.8|1.0|0.9|522|Incidence|58588724|Non-Hodgkin Lymphoma|1999
0-19|1.0|1.1|1.1|827|Incidence|78174581|Non-Hodgkin Lymphoma|1999
0-14|2.8|3.1|2.9|1693|Incidence|58588724|Other|1999
0-19|4.0|4.3|4.1|3227|Incidence|78174581|Other|1999
0-14|0.8|0.9|0.8|491|Incidence|58588724|Soft Tissue|1999
0-19|0.8|0.9|0.9|685|Incidence|78174581|Soft Tissue|1999
0-14|0.3|0.4|0.3|194|Mortality|59955368|Acute Lymphocytic|1999
0-19|0.3|0.4|0.4|285|Mortality|80039970|Acute Lymphocytic|1999
0-14|0.2|0.3|0.2|141|Mortality|59955368|Acute Myeloid|1999
0-19|0.2|0.3|0.3|207|Mortality|80039970|Acute Myeloid|1999
0-14|2.4|2.6|2.5|1498|Mortality|59955368|All Cancer Sites Combined|1999
0-19|2.7|2.9|2.8|2243|Mortality|80039970|All Cancer Sites Combined|1999
0-14|0.1|0.2|0.1|82|Mortality|59955368|Bones and Joints|1999
0-19|0.2|0.3|0.3|209|Mortality|80039970|Bones and Joints|1999
0-14|0.7|0.8|0.7|431|Mortality|59955368|Brain and Other Nervous System|1999
0-19|0.6|0.7|0.7|546|Mortality|80039970|Brain and Other Nervous System|1999
0-14|~|~|~|~|Mortality|59955368|Hodgkin Lymphoma|1999
0-19|0.0|0.1|0.1|41|Mortality|80039970|Hodgkin Lymphoma|1999
0-14|0.1|0.1|0.1|54|Mortality|59955368|Kidney and Renal Pelvis|1999
0-19|0.1|0.1|0.1|62|Mortality|80039970|Kidney and Renal Pelvis|1999
0-14|0.7|0.8|0.8|451|Mortality|59955368|Leukemia|1999
0-19|0.8|0.9|0.8|672|Mortality|80039970|Leukemia|1999
0-14|0.1|0.1|0.1|55|Mortality|59955368|Non-Hodgkin Lymphoma|1999
0-19|0.1|0.2|0.1|106|Mortality|80039970|Non-Hodgkin Lymphoma|1999
0-14|0.5|0.6|0.5|328|Mortality|59955368|Other|1999
0-19|0.5|0.6|0.6|455|Mortality|80039970|Other|1999
