AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
1-4|21.9|23.4|22.6|3605|Incidence|15922775|All Cancer Sites Combined|2013
10-14|14.0|15.1|14.5|3001|Incidence|20657299|All Cancer Sites Combined|2013
15-19|21.2|22.5|21.9|4633|Incidence|21191148|All Cancer Sites Combined|2013
5-9|12.5|13.5|13.0|2679|Incidence|20574674|All Cancer Sites Combined|2013
<1|26.3|29.6|27.9|1096|Incidence|3931141|All Cancer Sites Combined|2013
1-4|4.2|4.9|4.6|726|Incidence|15922775|Brain and Other Nervous System|2013
10-14|2.9|3.3|3.1|640|Incidence|20657299|Brain and Other Nervous System|2013
15-19|2.1|2.5|2.3|479|Incidence|21191148|Brain and Other Nervous System|2013
5-9|3.2|3.7|3.5|717|Incidence|20574674|Brain and Other Nervous System|2013
<1|3.3|4.5|3.8|151|Incidence|3931141|Brain and Other Nervous System|2013
1-4|~|~|~|~|Incidence|7788457|Cervix|2013
10-14|~|~|~|~|Incidence|10109323|Cervix|2013
15-19|~|~|~|~|Incidence|10335846|Cervix|2013
5-9|~|~|~|~|Incidence|10067740|Cervix|2013
<1|~|~|~|~|Incidence|1921613|Cervix|2013
1-4|~|~|~|~|Incidence|15922775|Colon and Rectum|2013
10-14|0.1|0.2|0.2|37|Incidence|20657299|Colon and Rectum|2013
15-19|0.5|0.7|0.6|120|Incidence|21191148|Colon and Rectum|2013
5-9|~|~|~|~|Incidence|20574674|Colon and Rectum|2013
<1|~|~|~|~|Incidence|3931141|Colon and Rectum|2013
1-4|~|~|~|~|Incidence|7788457|Corpus and Uterus, NOS|2013
10-14|~|~|~|~|Incidence|10109323|Corpus and Uterus, NOS|2013
15-19|~|~|~|~|Incidence|10335846|Corpus and Uterus, NOS|2013
5-9|~|~|~|~|Incidence|10067740|Corpus and Uterus, NOS|2013
<1|~|~|~|~|Incidence|1921613|Corpus and Uterus, NOS|2013
1-4|~|~|~|~|Incidence|15922775|Esophagus|2013
10-14|~|~|~|~|Incidence|20657299|Esophagus|2013
15-19|~|~|~|~|Incidence|21191148|Esophagus|2013
5-9|~|~|~|~|Incidence|20574674|Esophagus|2013
<1|~|~|~|~|Incidence|3931141|Esophagus|2013
1-4|~|~|~|~|Incidence|7788457|Female Breast|2013
10-14|~|~|~|~|Incidence|10109323|Female Breast|2013
15-19|~|~|~|~|Incidence|10335846|Female Breast|2013
5-9|~|~|~|~|Incidence|10067740|Female Breast|2013
<1|~|~|~|~|Incidence|1921613|Female Breast|2013
1-4|~|~|~|~|Incidence|7788457|Female Breast, <i>in situ</i>|2013
10-14|~|~|~|~|Incidence|10109323|Female Breast, <i>in situ</i>|2013
15-19|~|~|~|~|Incidence|10335846|Female Breast, <i>in situ</i>|2013
5-9|~|~|~|~|Incidence|10067740|Female Breast, <i>in situ</i>|2013
<1|~|~|~|~|Incidence|1921613|Female Breast, <i>in situ</i>|2013
1-4|~|~|~|~|Incidence|15922775|Hodgkin Lymphoma|2013
10-14|0.9|1.2|1.1|223|Incidence|20657299|Hodgkin Lymphoma|2013
15-19|2.7|3.1|2.9|616|Incidence|21191148|Hodgkin Lymphoma|2013
5-9|0.4|0.6|0.5|95|Incidence|20574674|Hodgkin Lymphoma|2013
<1|~|~|~|~|Incidence|3931141|Hodgkin Lymphoma|2013
1-4|~|~|~|~|Incidence|15922775|Kaposi Sarcoma|2013
10-14|~|~|~|~|Incidence|20657299|Kaposi Sarcoma|2013
15-19|~|~|~|~|Incidence|21191148|Kaposi Sarcoma|2013
5-9|~|~|~|~|Incidence|20574674|Kaposi Sarcoma|2013
<1|~|~|~|~|Incidence|3931141|Kaposi Sarcoma|2013
1-4|1.9|2.3|2.1|334|Incidence|15922775|Kidney and Renal Pelvis|2013
10-14|0.1|0.2|0.2|34|Incidence|20657299|Kidney and Renal Pelvis|2013
15-19|0.2|0.3|0.3|57|Incidence|21191148|Kidney and Renal Pelvis|2013
5-9|0.5|0.7|0.6|128|Incidence|20574674|Kidney and Renal Pelvis|2013
